Name,URL,Price,Location
****** APARTMENT FOR RENT ******,http://sfbay.craigslist.org/sfc/apa/5013631002.html,$1500,sunset / parkside
Neat & Cozy Jr. One Bedroom in-law,http://sfbay.craigslist.org/sfc/apa/5013619331.html,$1400,richmond / seacliff
Inlaw with separate entry,http://sfbay.craigslist.org/sfc/apa/5011821826.html,$1250,sunset / parkside
